Ano_Fecha,Nombre_Departamento,AFRO_FAM,AVVRA_FAM,AHE_FAM,AVV40_FAM,DESARRA_FAM,AVV2_FAM,DRPE_FAM,GI_PEE_FAM,FA_DES_FAM,FA_IND_FAM,FA_SIS_FAM,IRR_FAM,PFG_FAM,HAB_MH_FAM,HAB_RUR_FAM,LP_FAM,PDP_FAM,PP_FAM,RESA_FAM,RETOR_FAM,UNIDOS_FAM,FAM_BAN_FAM,EXPUL_FAM,RECEP_FAM,FASAN_SIS_FAM,FASAN_DES_FAM,FASAN_IND_FAM,ICBF_FAM_BIENE_FAM,GPDE_FAM,UNI_PROM_FAM,MFA_UNI_FAM,MFA_SIS_FAM,MFA_DES_FAM,GIV_FAM,MFA_IND_FAM,HAB_FAM,MFA_BAN_FAM,MFA_INS_FAM,GI_IRACA_FAM,ACT_PROS_INV,AVVRA_INV,DESARRA_INV,MUSICA_INV,AHE_INV,AVV40_INV,AVV2_INV,AFRO_INV,DRPE_INV,GI_PEE_INV,FA_DES_INV,FA_IND_INV,FA_SIS_INV,IRR_INV,PFG_INV,GI_CAP_INV,GI_DEI_INV,GI_ICETEX_INV,GI_ICE_INV,GI_MA_INV,GI_MP_INV,GI_OTRAS_INV,GI_PAI_INV,GI_RAI_INV,GI_RIE_INV,GI_TU_INV,GI_TT_INV,GI_SIT_INV,GAM_INV,HAB_MH_INV,HAB_RUR_INV,IPS_INV,LP_INV,OPP_INV,PDP_INV,PE_INV,PP_INV,RESA_INV,UNIDOS_INV,GIV_INV,FASAN_DES_INV,FASAN_SIS_INV,FASAN_IND_INV,NTP_INV,IND1290_INV,AYUHUM_INV,IND418_INV,EN_NNA_INV,GPDE_INV,PI_INV,GI_IRACA_INV,MFA_SIS_INV,MFA_UNI_INV,MFA_DES_INV,LA_INV,MFA_IND_INV,HAB_INV,JEA_INV,DPS_INV,GI_PEE_PER,FA_DES_PER,FA_IND_PER,FA_SIS_PER,MUSICA_PER,GI_CAP_PER,GI_DEI_PER,GI_ICETEX_PER,GI_ICE_PER,GI_MA_PER,GI_MP_PER,GI_OTRAS_PER,GI_PAI_PER,GI_RAI_PER,GI_RIE_PER,GI_SIT_PER,GI_TT_PER,GI_TU_PER,GAM_PER,IPS_PER,LA_PER,PROT_TIER_PER,RETORNO_PER,UNIDOS_PER,GIV_PER,EXPUL_PER,RECEP_PER,FASAN_DES_PER,FASAN_SIS_PER,FASAN_IND_PER,IND418_PER,IND1290_PER,AYU_HUM_PER,ICBF_NN_SIN_EDU_INI_PER,ICBF_GEN_BIENE_PER,ICBF_NNA_PAE_PER,NN_PAI_PER,EN_NNA_PER,GPDE_PER,JEA_REG_PER,MPR_PREOR_PER,MPR_DIS_PER,MPR_COR_PER,MFA_DES_PER,MFA_SIS_PER,MFA_UNI_PER,GI_IRACA_PER,JEA_MAT_PER,JEA_CUP_PER,UNI_COG_PER,MFA_IND_PER,JEA_PER,JEA_ENROL_PER,JEA_PRO_MAT_PER,ACT_PROS_PRO,MUSICA_PRO,DESARRA_PRO,GI_PEE_PRO,GI_CAP_PRO,GI_DEI_PRO,GI_ICETEX_PRO,GI_ICE_PRO,GI_MA_PRO,GI_MP_PRO,GI_OTRAS_PRO,GI_PAI_PRO,GI_RAI_PRO,GI_RIE_PRO,GI_SIT_PRO,GI_TT_PRO,GI_TU_PRO,LA_PRO,OPP_PRO,PROT_TIER_PRO,PP_PRO,GIV_PRO,NTP_PRO,PI_PRO,MPR_COR_PRO,MPR_DIS_PRO,MPR_PREOR_PRO,TOT_INV
2012,CASANARE,0,0,3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24263,0,78,937,24286,3955,0,1918,0,1029,0,0,0,0,0,0,0,0,360,0,0,0,929.103,319.151.305,0,0,0,0,0,0,0,0,0,0,54.701.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.701.023,2.469.705,12650.71,0,0,1.216.133.454,34.002,3.978.052,699.062.988,0,0,918,0,0,0,0,0,0,0,1.618.602.632,0,0,0,0,145,68,0,0,1,1985,0,0,0,0,386,0,0,0,0,0,0,0,0,87090,2440,280,3067,7247,40794,0,44,1903,3,982,2376,49929,6762,123,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,1,0,0,3,0,0,1,9,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0
2012,ATLÁNTICO,0,0,51176,0,0,0,0,11920,0,0,0,0,0,0,0,0,0,0,5880,0,131892,0,42,4470,227478,15256,0,15226,0,1996,0,0,0,0,0,0,0,0,0,73.709.791,0,0,4.941.342,470.015.121,0,0,0,0,1.695.241.587,0,0,0,0,0,282.914.438,0,0,146.4,0,0,0,0,0,0,0,0,0,0,0,0,1.912.581.228,0,2.449.833.461,0,0,0,131.119.856,0,429.314.438,9212.84,119531.06,0,0,2.001.786.256,68.004,115.184.227,147.918.674,5.390.647.448,0,0,0,0,0,0,0,0,0,4.009.546.358,0,0,0,0,930,434,0,0,1646,4014,0,0,0,0,1246,0,0,7392,4196,644,0,0,0,487362,14732,128,13812,27524,391192,0,128,3976,6,145902,12342,283026,62346,266,160,0,0,0,0,0,0,0,0,0,0,888,0,0,0,0,6,6,0,0,14,0,0,12,12,0,0,0,0,6,0,0,10,0,92,0,0,54,0,0,0,0,0,0
2011,NARIÑO,0,548,42539,39,0,1507,0,0,0,0,0,0,0,0,0,0,172,873,971,0,66296,0,8019,7117,93037,16564,12616,0,601,0,0,0,0,0,0,0,0,0,0,534.035.584,9.434.321.422,0,634.538.898,358.411.064,623.833.057,15.837.612,0,0,0,0,0,0,0,0,460.665.714,0,0,161.2,2.713.112.497,40.121.204,0,0,0,297.023.709,0,0,262.369.543,0,0,0,0,0,3.097.985.885,44.999.913,0,639.957,305.788.125,0,4.295.583.502,10.234.435,48813.41,7260.72,0,7.654.276.079,0,0,0,3.198.460.102,0,0,0,0,0,0,0,0,0,1.062.568.301,0,0,0,0,1400,668,0,0,210,4805,250,0,0,406,500,1086,0,0,46710,0,0,1043,0,248850,7925,27664,25035,30562,166562,20324,0,963,0,82419,3135,268842,4795,0,3394,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,64,10,0,0,26,0,0,7,14,1,0,0,3,1,41,0,0,0,56,1536,0,93,0,0,0,0,0,0
2010,CUNDINAMARCA,0,344,7143,4,0,1,0,0,0,0,0,0,16,0,0,0,0,333,1490,0,70012,0,172,1669,93117,7850,0,0,0,0,0,0,0,0,0,0,0,0,0,387.950.338,660.554.038,0,44.003.973,65.697.625,78.088,0.9938,0,0,0,0,0,0,0,7.752,260.074.397,0,122.268.005,0,626.081.263,0,146.337.077,320,0,0,0,0,0,19.627.904,0,0,0,0,1.295.038.187,0,0,333.984,276,0,1.474.760.742,5565.82,59.569.016,0,0,17.526.583,0,0,0,0,0,0,0,0,0,0,0,0,0,8.068.359.659,0,0,0,0,1080,435,0,34,0,1252,0,196,200,283,0,0,0,0,18668,0,2800,20,0,0,2400,637,5806,15244,171669,0,0,217,0,30430,4893,224756,6408,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,0,0,32,10,0,0,15,0,15,0,6,0,23,2,10,0,0,0,0,70,60,23,0,71,0,0,0,0,0,0
2013,AMAZONAS,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,2767,0,0,0,0,1860,0,0,8,507,1528,149,0,2759,0,2767,5108,0,0,0,0,57.638.938,99.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.375,0,19.570.739,0,0,5.895,0,0,0,672.65,232.55,76.47,0,1537.16,0,0,2.738.843.938,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5374,0,0,0,0,0,4372,0,36,0,300,0,8616,1726,3,0,207,146,0,0,320,3242,1169,0,27,94,8,6659,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011,VAUPÉS,0,41,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,42,28,289,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878.384,0,75.421.329,2.382.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.835,185.465,0,0,235.664,0,0,0,0,0,0,0,0,0,0,0,0,0,348.721.329,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1360,0,150,103,301,611,0,0,11,0,759,0,5485,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2013,BOLÍVAR,0,0,23656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,81386,166753,3,22,0,0,0,0,0,1310,34115,117063,29284,0,0,0,166753,192911,0,0,0,0,375.889.852,1.887.986.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489.9,0,0,0,0,0,72.427.134,0,0,0,0,0,0,2.995.312.792,21.222,0,28.917.333,0,0,0,51.539.455,13616.11,13.910.635,0,0,0,2040.4,8.269.666.119,0,0,0,0,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,0,0,0,352558,0,6,68,0,0,0,0,608,18,69432,0,186400,34235,53,0,21705,733,0,0,58085,222350,63193,0,4835,5000,592,0,2646,3338,100,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2012,ANTIOQUIA,0,0,363872,0,0,0,0,11514,0,0,0,17088,7548,0,0,0,0,0,6110,0,284532,0,5960,44920,305892,127142,510,20602,0,6910,0,0,0,0,0,0,0,0,1708,0,0,0,221.786.484,3.080.612.733,0,0,0,0,2.555.626.382,0,0,0,20100.8,8.548.416,441.820.758,0,0,145.6,0,0,0,0,0,0,0,0,0,0,0,0,5.035.421.214,0,6.018.104.826,0,0,0,1.828.444.114,0,456.380.758,76048.88,156680.27,353.45,0,5.372.646.399,4.170.912,1.031.548.893,1.433.832.469,2.463.156,0,4355.4,0,0,0,0,0,0,0,3.571.679.654,0,0,0,0,3512,9290,0,0,788,12724,0,0,0,532,2454,0,0,6830,48204,1844,0,0,0,1149752,32618,20632,136046,229164,518314,1098,918,95826,368,186364,48898,933722,245286,2392,126,0,0,0,0,0,0,0,0,0,0,2506,0,0,0,0,0,26,0,0,184,0,0,96,52,0,0,0,2,10,0,0,10,0,52,0,0,354,0,0,0,0,0,0
2013,CALDAS,0,0,4662,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,24058,34294,1,7,0,0,5252,4035,0,763,11589,20495,5802,0,4565,0,34294,48740,0,0,0,0,172.916.814,335.321.755,0,0,0,0,0,0,0,0,0,1.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922.2,0,0,0,0,0,0,0,0,0,0,348.35,0,2.205.732.646,8.253,0,240.065.622,0,0,0,7601.04,4029.04,2568.89,0,1908.31,0,816.6,1.836.734.681,0,0,0,0,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,0,0,0,93037,0,1,19,0,0,9190,0,359,7,7961,0,120113,27673,28,0,3819,459,0,0,10262,35336,19920,0,1193,2391,190,7963,919,997,128,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2012,CUNDINAMARCA,0,0,16428,0,0,0,0,1760,0,0,0,460,0,0,0,0,0,0,2225,0,65090,0,175,1872,72138,7699,0,4457,0,3086,0,0,0,0,0,0,0,0,0,0,0,0,3.399.774,1.394.811.935,0,0,0,0,3.969.871.682,0,0,0,545.4,0,335.752.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.370.395,0,3.643.693.275,0,0,0,637.993.876,0,335.752.946,4699.52,36613.52,0,0,8.753.834.057,34.002,11.334,262.762.924,0,0,0,0,0,0,0,0,0,0,8.370.433.905,0,0,0,0,636,456,0,0,6,6725,0,0,0,136,0,0,0,2959,0,72,0,0,0,211069,10282,609,6054,14281,122574,0,1,1394,3,25921,7404,224642,30441,59,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,0,0,4,0,0,19,0,0,4,28,0,0,0,1,0,0,0,4,0,42,0,0,56,0,0,0,0,0,0
2010,ATLÁNTICO,0,90,8712,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68495,0,97,2117,133391,7173,0,0,0,0,0,0,0,0,0,0,0,0,0,2.347.789.024,1751,0,496.215.014,86.296.415,50.121.333,0.9938,0,0,0,0,0,0,0,0,49.459.986,0,605.528.661,0,0,0,2.613.162,639.9,0,0,0,0,0,33.721.046,0,0,0,0,1.469.565.595,0,0,0,0,0,1.297.501.809,4815.79,86022.36,0,0,221.970.014,0,0,0,0,0,0,0,0,0,0,0,0,0,1.097.090.328,0,0,0,0,1380,34,0,166,0,0,0,1,400,0,0,0,0,0,16362,0,0,3,0,0,601,335,7562,13104,322250,0,0,265,0,73548,495,129990,6534,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,185,8,0,0,4,0,6,0,0,0,1,3,0,0,0,0,0,0,11,3,0,14,0,0,0,0,0,0
