Dane_Importar,Depto,AFRO_FAM,AVVRA_FAM,AHE_FAM,AVV40_FAM,DESARRA_FAM,AVV2_FAM,DRPE_FAM,GI_PEE_FAM,FA_DES_FAM,FA_IND_FAM,FA_SIS_FAM,IRR_FAM,PFG_FAM,HAB_MH_FAM,HAB_RUR_FAM,LP_FAM,PDP_FAM,PP_FAM,RESA_FAM,RETOR_FAM,UNIDOS_FAM,FAM_BAN_FAM,EXPUL_FAM,RECEP_FAM,FASAN_SIS_FAM,FASAN_DES_FAM,FASAN_IND_FAM,ICBF_FAM_BIENE_FAM,GPDE_FAM,UNI_PROM_FAM,MFA_UNI_FAM,MFA_SIS_FAM,MFA_DES_FAM,GIV_FAM,MFA_IND_FAM,HAB_FAM,MFA_BAN_FAM,MFA_INS_FAM,FA_FACT_FAM,GI_IRACA_FAM,ACT_PROS_INV,AVVRA_INV,DESARRA_INV,MUSICA_INV,AHE_INV,AVV40_INV,AVV2_INV,AFRO_INV,DRPE_INV,GI_PEE_INV,FA_DES_INV,FA_IND_INV,FA_SIS_INV,IRR_INV,PFG_INV,GI_CAP_INV,GI_DEI_INV,GI_ICETEX_INV,GI_ICE_INV,GI_MA_INV,GI_MP_INV,GI_OTRAS_INV,GI_PAI_INV,GI_RAI_INV,GI_RIE_INV,GI_TU_INV,GI_TT_INV,GI_SIT_INV,GAM_INV,HAB_MH_INV,HAB_RUR_INV,IPS_INV,LP_INV,OPP_INV,PDP_INV,PE_INV,PP_INV,RESA_INV,UNIDOS_INV,GIV_INV,FASAN_DES_INV,FASAN_SIS_INV,FASAN_IND_INV,NTP_INV,IND1290_INV,AYUHUM_INV,IND418_INV,EN_NNA_INV,GPDE_INV,PI_INV,GI_IRACA_INV,MFA_SIS_INV,MFA_UNI_INV,MFA_DES_INV,LA_INV,MFA_IND_INV,HAB_INV,JEA_INV,PRR_INV,SJ_INV,DPS_INV,GI_PEE_PER,FA_DES_PER,FA_IND_PER,FA_SIS_PER,MUSICA_PER,GI_CAP_PER,GI_DEI_PER,GI_ICETEX_PER,GI_ICE_PER,GI_MA_PER,GI_MP_PER,GI_OTRAS_PER,GI_PAI_PER,GI_RAI_PER,GI_RIE_PER,GI_SIT_PER,GI_TT_PER,GI_TU_PER,GAM_PER,IPS_PER,LA_PER,PROT_TIER_PER,RETORNO_PER,UNIDOS_PER,GIV_PER,EXPUL_PER,RECEP_PER,FASAN_DES_PER,FASAN_SIS_PER,FASAN_IND_PER,IND418_PER,IND1290_PER,AYU_HUM_PER,ICBF_NN_SIN_EDU_INI_PER,ICBF_GEN_BIENE_PER,ICBF_NNA_PAE_PER,NN_PAI_PER,EN_NNA_PER,GPDE_PER,JEA_REG_PER,MPR_PREOR_PER,MPR_DIS_PER,MPR_COR_PER,MFA_DES_PER,MFA_SIS_PER,MFA_UNI_PER,GI_IRACA_PER,JEA_MAT_PER,JEA_CUP_PER,UNI_COG_PER,MFA_IND_PER,JEA_PER,JEA_ENROL_PER,JEA_PRO_MAT_PER,SJ_PER,ACT_PROS_PRO,MUSICA_PRO,DESARRA_PRO,GI_PEE_PRO,GI_CAP_PRO,GI_DEI_PRO,GI_ICETEX_PRO,GI_ICE_PRO,GI_MA_PRO,GI_MP_PRO,GI_OTRAS_PRO,GI_PAI_PRO,GI_RAI_PRO,GI_RIE_PRO,GI_SIT_PRO,GI_TT_PRO,GI_TU_PRO,LA_PRO,OPP_PRO,PROT_TIER_PRO,PP_PRO,GIV_PRO,NTP_PRO,PI_PRO,MPR_COR_PRO,MPR_DIS_PRO,MPR_PREOR_PRO,PRR_PRO,OPP_REG_PRO,PROT_TIER_HAS,GME_HAS,TOT_INV
05,ANTIOQUIA,0,16714,453449,87,0,130,0,5757,0,0,0,8544,4341,620,365,0,0,1071,8326,9479,133497,279500,17666,67027,170855,58245,1180,10301,2640,5811,58976,142769,95148,0,175,985,279500,320900,0,854,4942.221797,313048.4635,0,3794.760919,379411.5336,1379.566918,133.0794,0,0,12778.13191,0,0,0,10050.4,11565.576,3345.989822,0,815.237416,519.2,1630.006908,802.42408,896.958264,1595.04,0,510.231515,0,0,200.280253,106.588868,1706.17977,4312.859202,4482.110607,0,56729.98777,0,0,877.212208,2730.973702,0,10315.36826,90879.325,242360.826,361.595,0,615775.7698,497.4006,5157.744466,12387.96576,17085.36768,3350.5,2177.7,58126.82,23001.76,43341.915,0,99.93,6019.038972,3126.4,616.873289,0,595861.7215,0,0,0,0,2339,6105,0,224,965,9419,500,648,997,266,2127,829,0,3415,156498,1086,4500,853,37636,682956,25495,58707,212809,107532,300451,556,459,101898,434,418698,55787,1744077,298725,2049,17166,22933,1572,120,0,172940,254460,105347,0,6147,9432,931,444,4002,5347,537,0,237,21,0,0,156,0,14,61,44,1,52,10,1,7,49,0,5,25,112,1027,0,400,0,0,0,2,14,13,114,31997.4,7247.63,0
08,ATLÁNTICO,0,339,59038,6,0,1,0,5960,0,0,0,0,0,0,0,0,0,0,6612,0,62378,101228,161,7081,121212,7415,0,7613,460,1730,36357,65471,11074,0,714,0,101228,125468,0,0,2853.745694,6383.469511,0,1316.897115,53514.2325,79.701333,0.9938,0,0,8476.207936,0,0,0,0,0,257.912099,0,605.528661,321.8,1040.429887,0,2.613162,639.9,0,485.942828,0,0,12.079629,33.721046,0,0,1381.390614,0,182406.3175,0,0,0,2055.20218,0,3366.206266,11551.595,168950.745,0,0,26431.81647,8.1162,575.921135,1021.666762,3405.745151,0,0,25186.315,14328.58,5170.85,0,312.64,0,1798.6,0,40.58,432594.7585,0,0,0,0,1380,337,0,166,1152,4022,0,1,400,0,1423,50,0,3696,56141,388,0,3,0,264609,11247,522,22281,13466,213027,0,64,4545,7,293056,7386,549726,78877,179,80,22576,329,0,0,20160,120846,64285,0,4339,4972,420,1219,2187,3274,150,2,225,8,0,0,15,0,6,9,13,0,1,3,0,6,6,0,5,0,81,3,0,64,0,0,0,0,3,0,81,63,2.79,0
11,BOGOTÁ  D.C.,0,647,183468,3,0,181,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,18399,82466,143,15991,84208,19222,0,2100,228,1183,2706,70373,19035,0,0,0,82466,109091,0,0,85279.90685,3353.514381,0,2331.811222,175280.948,49.2934,188.5576,0,0,0,0,0,0,0,0,281.787229,0,2861.432509,196.4,368.869796,799.214384,36.584269,1276.5,0,0,0,0,1.691148,15.571041,0,0,0,0,0,0,0,0,408.5289,0,5822.479335,30456.58,111371.21,0.09,0,73524.84203,170.5182,1349.635333,1664.278783,807.652341,0,0,26363.425,1008.09,8960.33,0,0,0,5755,0,110.808333,278580.6747,0,0,0,0,1770,265,0,784,489,2534,498,14,798,0,0,7,0,2778,63353,0,600,2,0,85138,8167,501,57273,33935,139878,0,156,8380,149,432177,34524,695240,131381,287,0,37865,644,102,43,28750,107556,3904,0,9796,14876,154,0,6530,8119,580,6,2097,15,0,0,13,0,1,7,2,1,2,1,0,0,1,0,1,6,0,3,0,29,0,0,1,2,5,0,0,54.28,0,0
13,BOLÍVAR,0,814,120374,15,0,13,0,5726,0,0,0,1561,0,740,0,0,0,1461,12477,679,81386,166753,2221,16018,151279,15990,0,8450,4122,4127,34115,117063,29284,0,0,740,166753,192911,0,0,655.526802,15667.06558,0,1706.583225,103084.1901,220.46422,13.2106,0,0,8819.670438,0,0,0,1838.8,0,634.971213,0,1479.935442,99.4,3130.363188,802.42408,869.995038,800,0,558.586956,2521.959395,0,40.587551,96.393482,2425.587641,0,3703.712208,0,49752.41315,0,0,249.7,3730.778337,0,10938.22286,25912.425,222985.98,0,0,24737.02904,56.3574,400.253004,1060.526078,18054.18149,0,0,51539.455,13616.11,13910.635,0,0,2425.587641,2040.4,962.304,8773.906261,431726.8746,0,0,0,0,1701,886,0,405,225,7909,500,295,500,1742,1874,168,0,6574,88957,1090,6005,1089,2437,352558,21078,7723,57893,31283,277080,0,43,3757,49,301780,16989,738048,81165,196,4298,21705,733,0,0,58085,222350,63193,0,4835,5000,592,0,2646,3338,100,511,44,11,0,0,33,0,8,8,18,2,16,2,4,3,9,0,2,58,33,1214,0,105,0,0,0,0,6,9,33,43968.94,1977.64,0
15,BOYACÁ,0,262,4833,1,0,0,0,667,0,0,0,0,0,260,0,0,0,1174,6722,0,53387,55632,183,849,62071,2010,0,4493,0,3681,23484,45693,2287,0,0,260,55632,73947,0,0,397.848299,4741.862401,0,229.546193,3909.56365,9.23,0,0,0,1063.073639,0,0,0,0,0,715.20668,0,151.293195,0,3847.962597,0,31.357946,0,0,0,0,0,65.471593,0,875.921915,0,0,0,38520.34884,0,0,260,1986.255948,0,4811.292008,3330.205,91561.105,0,0,8375.053622,11.6988,76.5045,334.977972,0,0,0,19838.92,9639.82,1158.14,0,0,875.921915,298,0,23.58,173710.4768,0,0,0,0,150,803,0,42,5,13751,0,12,0,57,232,271,0,0,297,0,3500,10,0,192918,15173,628,2650,4020,114102,0,9,1333,10,147198,15716,533429,32724,58,0,2947,145,0,0,4606,87541,44164,0,803,1244,442,0,370,406,137,1,15,1,0,0,40,0,13,4,81,0,6,0,1,1,42,0,0,30,58,13,0,188,0,0,0,0,1,0,58,185.64,845.98,0
17,CALDAS,0,629,19591,1,0,2,0,1238,0,0,0,462,627,0,0,0,0,162,1295,0,24058,34294,266,2733,24846,4964,5706,9242,0,2121,11589,20495,5802,0,4565,0,34294,48740,0,0,755.79294,12295.50082,0,587.917035,15382.453,3.32,2.06,0,0,2752.682547,0,0,0,538.8,1723.596,727.73187,141.771955,192.853065,1.2,30.438595,0,135.884429,0,0,0,1241.108617,0,44.694627,0,0,0,2342.839293,0,50783.01714,0,162,110,329.843186,0,2515.683158,7622.625,33500.55,8627.945,0,21784.25082,13.92,100.117,666.981133,389.562259,0,0,7601.04,4029.04,2568.89,0,1908.31,0,816.6,0,0,127833.1376,0,0,0,0,701,599,100,53,4,1820,0,281,0,469,0,185,0,3595,0,554,3600,34,0,93037,7106,921,8954,8883,41603,10071,11,3206,12,66515,12566,480492,69559,92,0,3819,459,0,0,10262,35336,19920,0,1193,2391,190,7963,919,997,128,0,84,5,0,0,32,1,5,1,8,0,39,0,3,0,18,0,6,37,1359,43,1,113,0,0,0,0,3,0,179,565.5,416.17,0
18,CAQUETÁ,0,1261,72588,20,0,213,0,1366,0,0,0,807,0,371,14,0,0,0,1500,0,25796,29696,6603,6727,25129,15336,0,5168,0,1074,7068,18333,18614,0,0,385,29696,47026,0,0,439.294129,24098.61046,0,1909.326932,61399.6966,297.898729,220.6328,0,0,2367.212995,0,0,0,618,0,543.715958,0,159.679284,0,705.632659,0,847.702679,559.64,0,277.681532,0,0,47.352146,28.903205,993.946313,165.79395,889.954322,0,8514.645993,0,0,0,584.668233,0,3141.404259,24997.738,36124.696,0,0,43386.3987,451.152,1270.718804,2526.100718,261.333334,0,0,8545.42,2873.555,8957.14,0,0,1159.740263,344,1914.446561,0,101757.0327,0,0,0,0,1290,830,0,44,3,3470,0,22,350,252,1223,196,528,0,61396,273,7000,146,0,100370,6918,22126,23118,28428,44470,0,109,7178,396,37427,4869,273230,22612,471,0,3705,673,83,20,35179,34063,12795,0,571,600,217,0,371,468,30,0,15,8,0,0,36,0,7,3,16,0,18,2,3,2,16,2,0,55,24,167,0,105,0,0,1,1,5,30,24,13420.95,2504.89,0
19,CAUCA,0,2386,67893,33,0,4452,0,2542,0,0,0,0,3060,50,181,0,0,42,14230,0,69246,65090,10802,9463,71096,12506,25828,2937,2112,705,29586,60649,17786,0,36460,231,65090,155298,0,1234,1010.120263,45355.7603,0,854.503197,56521.09165,560.3338,4646.6352,0,0,4753.45403,0,0,0,0,11883,1664.138376,0,486.514336,80,6361.372838,0,15.678972,820.55,0,353.493775,0,0,155.344028,80.392531,6.6067,2143.151342,0,0,63636.99396,0,0,32.16,4488.935993,0,9937.092323,18612.7,94016.89,43700.2,0,86860.42792,7570.6002,5440.727066,4714.554378,10003.52237,0,3146.7,24901.11,11947.57,8022.7,0,17256.855,2149.758042,1019.6,1977.086793,0,319539.0977,0,0,0,0,800,2442,0,135,131,15931,0,6,516,1079,1332,643,0,0,94024,0,0,2307,0,267638,22215,35564,30613,21784,122630,50592,511,13958,6961,186066,18555,740970,69378,717,3206,5871,311,0,14,30897,102221,49718,0,1789,2179,515,70084,1166,1386,50,0,33,5,0,0,88,0,15,11,69,0,3,3,10,3,18,0,0,0,494,3181,0,220,0,0,1,0,2,18,226,26644.78,1025,0
20,CESAR,0,2665,110358,25,0,2,0,351,0,0,0,1646,0,1198,253,0,0,1099,5923,312,54752,79002,626,11925,58538,15850,1225,7337,1097,2219,23053,46452,25563,0,71,1451,79002,103575,0,156,1490.355963,49805.49425,0,1115.452878,100008.841,329.217732,1.9876,0,0,594.934083,0,0,0,1943,0,924.690105,0,78.830313,0,2002.232445,0,720.555377,636.17,0,0,0,0,32.131814,58.655645,1499.044136,2817.792243,0,0,26948.06605,0,0,1359.096191,2468.92236,0,4394.61005,25561.19,86771.435,2088.535,0,78724.2853,32.9664,912.32171,2093.259593,3638.420728,2803.08001,397.8,21121.485,10286.605,12411.005,0,42.48,4316.836379,552.2,0,17,209005.0691,0,0,0,0,1020,1013,0,22,4,6558,0,27,400,710,597,133,0,0,44894,0,1200,234,1064,236756,9464,2232,44377,30864,108472,2464,102,12956,28,173571,8528,573448,50390,360,242,7579,423,0,0,49013,87708,43682,0,1585,1839,390,183,668,780,0,1,30,7,0,0,37,0,9,3,27,0,12,3,9,1,12,0,0,10,18,285,0,113,0,0,0,0,3,0,18,23421.34,306.18,0
23,CÓRDOBA,0,1499,89443,31,301,14,0,2235,0,0,0,0,774,150,0,0,0,86,9666,0,108962,137543,5688,12975,140355,15603,2828,3697,0,3759,52773,103322,22514,0,10271,150,137543,198657,0,0,1108.615367,28442.90493,2907.027397,1638.132362,76397.87585,516.1675,14.0636,0,0,4179.871647,0,0,0,0,2200.344,1605.277961,0,201.029528,0,2704.020311,0,679.425989,796.8,0,0,0,0,72.960958,189.436905,543.11884,0,0,0,264921.1123,0,0,280.944264,3230.358265,0,6059.514749,24871.15,205090.13,5007.475,0,49755.37356,48.1566,2807.256652,1505.089606,1198.197758,0,0,46020.91,24130.405,10957.85,0,5094.94,543.11884,716.8,1684.719719,0,607865.0456,0,0,0,0,1110,2278,0,56,58,8802,0,4,498,156,496,302,0,0,166594,0,0,102,0,489330,12650,20709,44526,30682,262458,6677,293,9625,41,331653,17709,746964,63948,301,0,10654,602,0,0,44642,196417,101287,0,1739,1800,806,21804,787,1062,0,0,42,7,1,0,91,0,13,8,51,0,5,3,1,1,10,0,0,0,97,120,0,183,0,0,0,0,5,19,97,16233.76,9055.07,0
