Dane_Importar,Nombre_Municipio,Ano_Fecha,AFRO_FAM,AVVRA_FAM,AHE_FAM,AVV40_FAM,DESARRA_FAM,AVV2_FAM,DRPE_FAM,GI_PEE_FAM,FA_DES_FAM,FA_IND_FAM,FA_SIS_FAM,IRR_FAM,PFG_FAM,HAB_MH_FAM,HAB_RUR_FAM,LP_FAM,PDP_FAM,PP_FAM,RESA_FAM,RETOR_FAM,UNIDOS_FAM,FAM_BAN_FAM,EXPUL_FAM,RECEP_FAM,FASAN_SIS_FAM,FASAN_DES_FAM,FASAN_IND_FAM,ICBF_FAM_BIENE_FAM,GPDE_FAM,UNI_PROM_FAM,MFA_UNI_FAM,MFA_SIS_FAM,MFA_DES_FAM,GIV_FAM,MFA_IND_FAM,HAB_FAM,MFA_BAN_FAM,MFA_INS_FAM,FA_FACT_FAM,GI_IRACA_FAM,ACT_PROS_INV,AVVRA_INV,DESARRA_INV,MUSICA_INV,AHE_INV,AVV40_INV,AVV2_INV,AFRO_INV,DRPE_INV,GI_PEE_INV,FA_DES_INV,FA_IND_INV,FA_SIS_INV,IRR_INV,PFG_INV,GI_CAP_INV,GI_DEI_INV,GI_ICETEX_INV,GI_ICE_INV,GI_MA_INV,GI_MP_INV,GI_OTRAS_INV,GI_PAI_INV,GI_RAI_INV,GI_RIE_INV,GI_TU_INV,GI_TT_INV,GI_SIT_INV,GAM_INV,HAB_MH_INV,HAB_RUR_INV,IPS_INV,LP_INV,OPP_INV,PDP_INV,PE_INV,PP_INV,RESA_INV,UNIDOS_INV,GIV_INV,FASAN_DES_INV,FASAN_SIS_INV,FASAN_IND_INV,NTP_INV,IND1290_INV,AYUHUM_INV,IND418_INV,EN_NNA_INV,GPDE_INV,PI_INV,GI_IRACA_INV,MFA_SIS_INV,MFA_UNI_INV,MFA_DES_INV,LA_INV,MFA_IND_INV,HAB_INV,JEA_INV,PRR_INV,SJ_INV,DPS_INV,GI_PEE_PER,FA_DES_PER,FA_IND_PER,FA_SIS_PER,MUSICA_PER,GI_CAP_PER,GI_DEI_PER,GI_ICETEX_PER,GI_ICE_PER,GI_MA_PER,GI_MP_PER,GI_OTRAS_PER,GI_PAI_PER,GI_RAI_PER,GI_RIE_PER,GI_SIT_PER,GI_TT_PER,GI_TU_PER,GAM_PER,IPS_PER,LA_PER,PROT_TIER_PER,RETORNO_PER,UNIDOS_PER,GIV_PER,EXPUL_PER,RECEP_PER,FASAN_DES_PER,FASAN_SIS_PER,FASAN_IND_PER,IND418_PER,IND1290_PER,AYU_HUM_PER,ICBF_NN_SIN_EDU_INI_PER,ICBF_GEN_BIENE_PER,ICBF_NNA_PAE_PER,NN_PAI_PER,EN_NNA_PER,GPDE_PER,JEA_REG_PER,MPR_PREOR_PER,MPR_DIS_PER,MPR_COR_PER,MFA_DES_PER,MFA_SIS_PER,MFA_UNI_PER,GI_IRACA_PER,JEA_MAT_PER,JEA_CUP_PER,UNI_COG_PER,MFA_IND_PER,JEA_PER,JEA_ENROL_PER,JEA_PRO_MAT_PER,SJ_PER,ACT_PROS_PRO,MUSICA_PRO,DESARRA_PRO,GI_PEE_PRO,GI_CAP_PRO,GI_DEI_PRO,GI_ICETEX_PRO,GI_ICE_PRO,GI_MA_PRO,GI_MP_PRO,GI_OTRAS_PRO,GI_PAI_PRO,GI_RAI_PRO,GI_RIE_PRO,GI_SIT_PRO,GI_TT_PRO,GI_TU_PRO,LA_PRO,OPP_PRO,PROT_TIER_PRO,PP_PRO,GIV_PRO,NTP_PRO,PI_PRO,MPR_COR_PRO,MPR_DIS_PRO,MPR_PREOR_PRO,PRR_PRO,OPP_REG_PRO,PROT_TIER_HAS,GME_HAS,TOT_INV
25599,APULO,2010,0,14,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,10,518,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.77,0,0,31.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.450.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.450.287,18.435,338.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.030.287,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,37,55,948,0,0,0,0,164,0,1325,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25599,APULO,2013,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,257,0,0,0,0,0,0,0,3,135,392,51,0,0,0,257,607,0,0,0,0,0,0,16.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.179,0,0,0,0,0,148.12,46.74,24.17,0,0,0,0,0,0,219.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1324,0,0,0,0,0,0,0,0,1,164,0,1325,87,0,0,0,0,0,0,109,716,232,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25612,RICAURTE,2012,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,0,0,5,549,29,0,111,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.095,283.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.225,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,2167,218,0,15,53,888,0,0,0,0,137,0,1315,291,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25612,RICAURTE,2011,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,0,5,633,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.225,351.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2275,0,0,21,54,1064,0,0,0,0,137,60,1315,84,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25612,RICAURTE,2010,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,0,0,2,696,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.286.675,0,0,0,0,0,0,13.79,427.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.437.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,46,1237,0,0,0,0,137,30,1315,84,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
25612,RICAURTE,2013,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,741,0,0,0,0,0,0,0,15,300,649,41,0,0,0,741,1027,0,0,0,0,0,0,20.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.930.024,0,0,0,0,0,0,229.22,105.1,19.11,0,0,0,0,0,0,353.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2441,0,0,0,0,0,0,0,28,0,137,0,1315,291,0,0,0,0,0,0,84,1000,495,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25645,SAN ANTONIO DEL TEQUENDAMA,2012,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,2,155,21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,11.305,80.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,9,34,278,0,0,0,0,80,0,1823,79,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
25645,SAN ANTONIO DEL TEQUENDAMA,2011,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,1,3,174,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724778,0,0,0,0,0,0,0,0,0,0,0,0.724778,13.765,97.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.959.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,495,3,4,12,42,321,0,0,0,0,80,15,1823,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25645,SAN ANTONIO DEL TEQUENDAMA,2010,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,3,176,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0,0,6.464,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,1.75,15.13,112.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.805,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,44,335,0,0,0,0,80,15,1823,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0
25645,SAN ANTONIO DEL TEQUENDAMA,2013,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,88,0,0,0,0,0,0,0,4,40,289,30,0,0,0,88,374,0,0,0,0,0,0,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.93,14.84,13.46,0,0,0,0,0,0,141.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,0,0,0,0,0,0,0,0,0,79,0,1823,19,0,0,0,0,0,0,58,515,81,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
