Dane_Importar,Nombre_Municipio,AFRO_FAM,AVVRA_FAM,AHE_FAM,AVV40_FAM,DESARRA_FAM,AVV2_FAM,DRPE_FAM,GI_PEE_FAM,FA_DES_FAM,FA_IND_FAM,FA_SIS_FAM,IRR_FAM,PFG_FAM,HAB_MH_FAM,HAB_RUR_FAM,LP_FAM,PDP_FAM,PP_FAM,RESA_FAM,RETOR_FAM,UNIDOS_FAM,FAM_BAN_FAM,EXPUL_FAM,RECEP_FAM,FASAN_SIS_FAM,FASAN_DES_FAM,FASAN_IND_FAM,ICBF_FAM_BIENE_FAM,GPDE_FAM,UNI_PROM_FAM,MFA_UNI_FAM,MFA_SIS_FAM,MFA_DES_FAM,GIV_FAM,MFA_IND_FAM,HAB_FAM,MFA_BAN_FAM,MFA_INS_FAM,FA_FACT_FAM,GI_IRACA_FAM,ACT_PROS_INV,AVVRA_INV,DESARRA_INV,MUSICA_INV,AHE_INV,AVV40_INV,AVV2_INV,AFRO_INV,DRPE_INV,GI_PEE_INV,FA_DES_INV,FA_IND_INV,FA_SIS_INV,IRR_INV,PFG_INV,GI_CAP_INV,GI_DEI_INV,GI_ICETEX_INV,GI_ICE_INV,GI_MA_INV,GI_MP_INV,GI_OTRAS_INV,GI_PAI_INV,GI_RAI_INV,GI_RIE_INV,GI_TU_INV,GI_TT_INV,GI_SIT_INV,GAM_INV,HAB_MH_INV,HAB_RUR_INV,IPS_INV,LP_INV,OPP_INV,PDP_INV,PE_INV,PP_INV,RESA_INV,UNIDOS_INV,GIV_INV,FASAN_DES_INV,FASAN_SIS_INV,FASAN_IND_INV,NTP_INV,IND1290_INV,AYUHUM_INV,IND418_INV,EN_NNA_INV,GPDE_INV,PI_INV,GI_IRACA_INV,MFA_SIS_INV,MFA_UNI_INV,MFA_DES_INV,LA_INV,MFA_IND_INV,HAB_INV,JEA_INV,PRR_INV,SJ_INV,DPS_INV,GI_PEE_PER,FA_DES_PER,FA_IND_PER,FA_SIS_PER,MUSICA_PER,GI_CAP_PER,GI_DEI_PER,GI_ICETEX_PER,GI_ICE_PER,GI_MA_PER,GI_MP_PER,GI_OTRAS_PER,GI_PAI_PER,GI_RAI_PER,GI_RIE_PER,GI_SIT_PER,GI_TT_PER,GI_TU_PER,GAM_PER,IPS_PER,LA_PER,PROT_TIER_PER,RETORNO_PER,UNIDOS_PER,GIV_PER,EXPUL_PER,RECEP_PER,FASAN_DES_PER,FASAN_SIS_PER,FASAN_IND_PER,IND418_PER,IND1290_PER,AYU_HUM_PER,ICBF_NN_SIN_EDU_INI_PER,ICBF_GEN_BIENE_PER,ICBF_NNA_PAE_PER,NN_PAI_PER,EN_NNA_PER,GPDE_PER,JEA_REG_PER,MPR_PREOR_PER,MPR_DIS_PER,MPR_COR_PER,MFA_DES_PER,MFA_SIS_PER,MFA_UNI_PER,GI_IRACA_PER,JEA_MAT_PER,JEA_CUP_PER,UNI_COG_PER,MFA_IND_PER,JEA_PER,JEA_ENROL_PER,JEA_PRO_MAT_PER,SJ_PER,ACT_PROS_PRO,MUSICA_PRO,DESARRA_PRO,GI_PEE_PRO,GI_CAP_PRO,GI_DEI_PRO,GI_ICETEX_PRO,GI_ICE_PRO,GI_MA_PRO,GI_MP_PRO,GI_OTRAS_PRO,GI_PAI_PRO,GI_RAI_PRO,GI_RIE_PRO,GI_SIT_PRO,GI_TT_PRO,GI_TU_PRO,LA_PRO,OPP_PRO,PROT_TIER_PRO,PP_PRO,GIV_PRO,NTP_PRO,PI_PRO,MPR_COR_PRO,MPR_DIS_PRO,MPR_PREOR_PRO,PRR_PRO,OPP_REG_PRO,PROT_TIER_HAS,GME_HAS,TOT_INV
00000     ,NACIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3667,0,0,0,0,122,13,0,0,0,0,8950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218961.2358,0,0,10284.36,0,0,0,0,0,0,0,0,0,0,4435.806495,18586.77763,0,0,0,0,0,0,0,0,0,2673.78924,0,237548.0134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,103,0,0,0,432,0,0,0,0,0,0,0,3,0,0,0,785,4068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,122,0,0,0,0,0,0,0,2,16,1348.97,0,0
05000     ,ANTIOQUIA (DP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.573069,0,0,0,0,0,0,0,0,0,0,821.582623,0,0,0,0,0,0,0,0,0,130.007,0,889.155692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0
05001     ,MEDELLÍN,0,2897,178895,6,0,21,0,0,0,0,0,0,0,40,0,0,0,0,685,0,19418,61892,5416,17956,38292,12561,0,0,0,0,14427,30678,22728,0,0,40,61892,72917,0,0,2628.475486,55907.44161,0,1698.9455,165195.8081,75.660205,21.4128,0,0,0,0,0,0,0,0,53.415641,0,679.080188,271.4,0.553429,802.42408,162.01605,275.1,0,510.231515,0,0,0.241593,0,52.416,0,4482.110607,0,0,0,0,0,156.67574,0,2754.462496,19062.71,50401.94,0,0,231280.9224,96.8082,3615.703717,5989.455463,0,0,0,11107.045,4891.665,10580.49,0,0,52.416,2225.8,0,0,110042.7358,0,0,0,0,750,77,0,186,383,692,500,62,172,0,1358,1,0,1425,15548,1086,0,112,0,189131,4856,19929,59911,22380,64851,0,320,39381,83,163530,10686,419039,162454,923,0,17300,547,120,0,39952,52189,24464,0,4558,7475,0,0,2931,3941,437,0,84,8,0,0,3,0,1,10,2,1,31,1,0,4,1,0,1,0,0,125,0,55,0,0,0,2,4,0,0,164.46,1.5,0
05002     ,ABEJORRAL,0,41,1285,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,930,1723,26,277,1054,219,0,117,52,17,353,1070,378,0,0,0,1723,1881,0,0,0,834.346968,0,0,1051.363,0,0,0,0,91.562019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241593,0,0,0,0,0,0,0,0,0,0,0,0.241593,320.92,1431.32,0,0,853.526195,0,0,44.053428,270.556451,0,0,393.96,116.6,164.25,0,0,0,0,0,0,2789.410063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,286,203,0,0,4,0,4025,287,99,1016,377,1767,0,0,112,0,666,318,8641,1089,5,653,0,0,0,0,658,1930,550,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,2,0,0,0,0,0,0,0,19.2,0.5,0
05004     ,ABRIAQUÍ,0,34,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,155,5,47,82,22,0,0,0,1,30,78,49,0,0,0,155,167,0,0,0,671.956674,0,0,63.5915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.405,124.395,0,0,0,0,0,0,0,0,0,30.78,10.31,22.52,0,0,0,0,0,0,222.41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,1,12,146,44,158,0,0,0,0,341,30,1319,211,0,0,0,0,0,0,90,141,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
05021     ,ALEJANDRÍA,0,16,1274,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,235,458,3,111,151,251,0,0,53,20,29,79,372,0,0,0,458,523,0,0,0,254.872594,0,0,1009.064,0,0,0,0,338.775108,0,0,0,0,0,39.280756,0,0,0,0,0,0,0,0,0,0,0,0.724778,0,0,0,0,0,0,0,0,0,0,0,40.005534,368.18,182.135,0,0,187.361061,0,0,0,270.556451,0,0,30.38,9.79,160.52,0,0,0,0,0,0,1400.342093,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1071,48,11,342,429,217,0,0,23,0,380,768,2294,1336,0,655,0,0,0,0,607,129,45,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
05030     ,AMAGA,0,34,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,1159,24,51,1171,30,0,344,0,159,567,613,57,0,0,0,1159,1332,0,0,0,574.747581,0,0,185.4075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483185,0,0,0,0,0,269.857,0,0,0,0,0,0.483185,45.21,1534.445,0,0,1923.371964,0,0,32.581244,0,0,0,209.75,186.1,22.72,0,0,0,0,0,0,2268.565185,0,0,0,0,0,0,0,0,7,76,0,0,0,0,0,2,0,298,0,0,0,0,0,3576,383,76,140,59,1907,0,0,300,0,2328,610,10189,1132,7,0,0,0,0,0,93,976,917,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0
05031     ,AMALFI,0,217,627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,2053,96,291,1256,163,0,127,0,54,432,1276,346,0,0,0,2053,2237,0,0,154.929049,4033.29048,0,0,528.016,17.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.657518,0,0,0,0,0,0,0,0,0,0,0,2.657518,258.2,1848.505,0,0,145.024074,0,0,0,0,0,0,484.75,162.95,153.64,0,0,0,0,0,0,3065.631567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,9,0,3825,11,304,1007,290,2360,0,0,25,0,1480,265,10180,437,0,0,0,0,0,0,616,2316,813,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1617.51,102.8,0
05034     ,ANDES,0,51,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,2275,29,82,1194,67,0,117,0,83,214,2106,132,0,0,0,2275,2596,0,0,0,1004.39298,0,0,420.3575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1496.996847,0,0,0,0,0,0,109.905,1635.16,0,0,2467.762103,1.179,0,139.0665,0,0,0,778.22,73.3,59.54,0,0,0,0,0,0,4153.121847,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1493,6,122,303,131,2069,0,0,407,1,6184,505,14916,2081,26,0,0,0,0,0,251,3784,363,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,2,0,0,0
05036     ,ANGELÓPOLIS,0,6,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,389,2,68,292,20,0,14,0,18,104,254,51,0,0,0,389,428,0,0,0,110.004,0,0,142.994,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30.455,358.655,0,0,180.312,0,0,0,0,0,0,88.49,31.59,22.23,0,0,0,0,0,0,536.42,0,0,0,0,0,0,0,0,24,156,0,0,0,0,0,0,0,0,0,0,0,0,0,678,180,4,202,37,463,0,0,28,0,1000,240,4415,395,0,0,0,0,0,0,94,418,170,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
